#acquisition error/standby/quality issue events
Start Time;End Time;Error Description;Error Value
# --- 2025 --- #
2021-02-06 14:25:01;2021-02-06 14:26:01;Local contamination;159.49024590163935
2021-02-06 14:28:39;2021-02-06 14:30:57;Missing due to calibration or zero/span check;nan
2021-02-06 14:32:13;2021-02-06 14:32:13;Missing due to calibration or zero/span check;241.735
2021-02-06 14:33:39;2021-02-06 14:37:01;Missing due to calibration or zero/span check;nan
2021-02-06 14:38:39;2021-02-06 14:41:01;Missing due to calibration or zero/span check;nan
2021-02-06 14:43:39;2021-02-06 14:46:01;Missing due to calibration or zero/span check;nan
2021-02-06 14:48:01;2021-02-06 14:54:00;Local contamination;nan
2021-02-06 14:55:01;2021-02-06 14:56:01;Local contamination;165.5208524590164
2021-02-06 15:00:00;2021-02-06 15:00:01;Erreur inconnue;nan
2021-02-06 15:03:39;2021-02-06 15:05:42;Missing due to calibration or zero/span check;nan
2021-02-06 15:08:39;2021-02-06 15:10:59;Missing due to calibration or zero/span check;nan
2021-02-06 15:12:01;2021-02-06 15:16:01;Local contamination;nan
2021-02-06 15:16:25;2021-02-06 15:16:25;Missing due to calibration or zero/span check;339.773
2021-02-06 15:18:39;2021-02-06 15:21:01;Missing due to calibration or zero/span check;nan
2021-02-06 15:22:26;2021-02-06 15:22:26;Missing due to calibration or zero/span check;399.666
2021-02-06 15:23:39;2021-02-06 15:29:31;Missing due to calibration or zero/span check;nan
2021-02-06 15:38:39;2021-02-06 15:41:18;Missing due to calibration or zero/span check;nan
2021-02-06 15:43:39;2021-02-06 15:45:15;Missing due to calibration or zero/span check;nan
2021-02-06 15:48:39;2021-02-06 15:51:04;Missing due to calibration or zero/span check;nan
2021-02-06 15:53:39;2021-02-06 15:55:34;Missing due to calibration or zero/span check;nan
2021-02-06 15:58:39;2021-02-06 16:05:06;Missing due to calibration or zero/span check;nan
2021-02-06 16:10:01;2021-02-06 16:11:01;Local contamination;191.82798360655738
2021-02-06 16:13:39;2021-02-06 16:16:09;Missing due to calibration or zero/span check;nan
2021-02-06 16:18:39;2021-02-06 16:21:01;Missing due to calibration or zero/span check;nan
2021-02-06 16:23:39;2021-02-06 16:26:22;Missing due to calibration or zero/span check;nan
2021-02-06 16:28:39;2021-02-06 16:30:37;Missing due to calibration or zero/span check;nan
2021-02-06 16:33:00;2021-02-06 16:33:00;Missing due to calibration or zero/span check;297.508
2021-02-06 16:33:39;2021-02-06 16:39:29;Missing due to calibration or zero/span check;nan
2021-02-06 16:40:01;2021-02-06 16:41:01;Local contamination;204.53937704918033
2021-02-06 16:46:01;2021-02-06 16:47:01;Local contamination;204.0859836065574
2021-02-06 16:48:39;2021-02-06 16:50:59;Missing due to calibration or zero/span check;nan
2021-02-06 16:53:39;2021-02-06 16:57:01;Missing due to calibration or zero/span check;nan
2021-02-06 16:58:39;2021-02-06 17:00:14;Missing due to calibration or zero/span check;nan
2021-02-06 17:03:39;2021-02-06 17:05:20;Missing due to calibration or zero/span check;nan
2021-02-06 17:07:40;2021-02-06 17:07:40;Missing due to calibration or zero/span check;589.06
2021-02-06 17:08:39;2021-02-06 17:15:15;Missing due to calibration or zero/span check;nan
2021-02-06 17:23:39;2021-02-06 17:26:11;Missing due to calibration or zero/span check;nan
2021-02-06 17:28:39;2021-02-06 17:30:45;Missing due to calibration or zero/span check;nan
2021-02-06 17:33:39;2021-02-06 17:35:07;Missing due to calibration or zero/span check;nan
2021-02-06 17:38:39;2021-02-06 17:40:14;Missing due to calibration or zero/span check;nan
2021-02-06 17:41:53;2021-02-06 17:41:53;Missing due to calibration or zero/span check;610.583
2021-02-06 17:43:39;2021-02-06 17:49:19;Missing due to calibration or zero/span check;nan
2021-02-06 17:52:01;2021-02-06 17:54:01;Local contamination;218.35720661157026
2021-02-06 17:58:39;2021-02-06 18:01:38;Missing due to calibration or zero/span check;nan
2021-02-06 18:03:39;2021-02-06 18:06:19;Missing due to calibration or zero/span check;nan
2021-02-06 18:08:39;2021-02-06 18:10:09;Missing due to calibration or zero/span check;nan
2021-02-06 18:11:31;2021-02-06 18:11:31;Missing due to calibration or zero/span check;525.999
2021-02-06 18:13:39;2021-02-06 18:15:21;Missing due to calibration or zero/span check;nan
2021-02-06 18:16:07;2021-02-06 18:16:07;Missing due to calibration or zero/span check;566.269
2021-02-06 18:18:39;2021-02-06 18:24:23;Missing due to calibration or zero/span check;nan
2021-02-06 18:26:01;2021-02-06 20:44:57;Local contamination;nan
2021-02-06 20:53:39;2021-02-06 20:55:55;Missing due to calibration or zero/span check;nan
2021-02-06 20:58:39;2021-02-06 21:01:09;Missing due to calibration or zero/span check;nan
2021-02-06 21:02:55;2021-02-06 21:02:55;Missing due to calibration or zero/span check;292.274
2021-02-06 21:03:39;2021-02-06 21:06:06;Missing due to calibration or zero/span check;nan
2021-02-06 21:07:17;2021-02-06 21:07:17;Missing due to calibration or zero/span check;296.34
2021-02-06 21:08:39;2021-02-06 21:10:22;Missing due to calibration or zero/span check;nan
2021-02-06 21:10:38;2021-02-06 21:10:38;Missing due to calibration or zero/span check;146.487
2021-02-06 21:13:39;2021-02-06 21:19:20;Missing due to calibration or zero/span check;nan
2021-02-06 21:27:07;2021-02-06 21:27:07;Missing due to calibration or zero/span check;263.796
2021-02-06 21:28:39;2021-02-06 21:30:07;Missing due to calibration or zero/span check;nan
2021-02-06 21:32:30;2021-02-06 21:32:30;Missing due to calibration or zero/span check;304.979
2021-02-06 21:33:39;2021-02-06 21:36:01;Missing due to calibration or zero/span check;nan
2021-02-06 21:38:39;2021-02-06 21:40:47;Missing due to calibration or zero/span check;nan
2021-02-06 21:43:39;2021-02-06 21:45:26;Missing due to calibration or zero/span check;nan
2021-02-06 21:47:18;2021-02-06 21:47:18;Missing due to calibration or zero/span check;355.252
2021-02-06 21:48:39;2021-02-06 21:54:17;Missing due to calibration or zero/span check;nan
2021-02-06 21:55:47;2021-02-06 21:55:48;Missing due to calibration or zero/span check;307.012
2021-02-06 22:00:00;2021-02-06 22:00:01;Erreur inconnue;nan
2021-02-06 22:03:11;2021-02-06 22:03:11;Missing due to calibration or zero/span check;297.011
2021-02-06 22:03:39;2021-02-06 22:04:43;Missing due to calibration or zero/span check;nan
2021-02-06 22:07:21;2021-02-06 22:07:21;Missing due to calibration or zero/span check;186.734
2021-02-06 22:08:39;2021-02-06 22:10:04;Missing due to calibration or zero/span check;nan
2021-02-06 22:13:39;2021-02-06 22:15:03;Missing due to calibration or zero/span check;nan
2021-02-06 22:18:39;2021-02-06 22:20:09;Missing due to calibration or zero/span check;nan
2021-02-06 22:22:01;2021-02-06 22:23:01;Local contamination;289.6014262295082
2021-02-06 22:23:39;2021-02-06 22:29:36;Missing due to calibration or zero/span check;nan
2021-02-06 22:30:30;2021-02-06 22:30:30;Missing due to calibration or zero/span check;367.932
2021-02-06 22:34:07;2021-02-06 22:34:07;Missing due to calibration or zero/span check;336.798
2021-02-06 22:38:34;2021-02-06 22:38:34;Missing due to calibration or zero/span check;421.65
2021-02-06 22:38:39;2021-02-06 22:40:26;Missing due to calibration or zero/span check;nan
2021-02-06 22:43:39;2021-02-06 22:45:05;Missing due to calibration or zero/span check;nan
2021-02-06 22:48:39;2021-02-06 22:50:15;Missing due to calibration or zero/span check;nan
2021-02-06 22:53:01;2021-02-06 22:53:01;Missing due to calibration or zero/span check;413.964
2021-02-06 22:53:39;2021-02-06 22:55:20;Missing due to calibration or zero/span check;nan
2021-02-06 22:56:00;2021-02-06 22:56:00;Missing due to calibration or zero/span check;412.916
2021-02-06 22:57:01;2021-02-06 22:58:01;Local contamination;310.69427868852455
2021-02-06 22:58:39;2021-02-06 23:04:16;Missing due to calibration or zero/span check;nan
2021-02-06 23:13:39;2021-02-06 23:15:33;Missing due to calibration or zero/span check;nan
2021-02-06 23:18:39;2021-02-06 23:20:38;Missing due to calibration or zero/span check;nan
2021-02-06 23:23:24;2021-02-06 23:23:24;Missing due to calibration or zero/span check;411.154
2021-02-06 23:23:39;2021-02-06 23:25:12;Missing due to calibration or zero/span check;nan
2021-02-06 23:28:39;2021-02-06 23:30:23;Missing due to calibration or zero/span check;nan
2021-02-06 23:32:12;2021-02-06 23:32:12;Missing due to calibration or zero/span check;483.492
2021-02-06 23:33:01;2021-02-06 23:40:20;Local contamination;nan
