ccn_sursaturation,ccn_flag,ccn_conc,datetime,pollution_flag
0.8,0.0,280.148,2021-02-05 06:38:32,0.0
0.8,0.0,271.819,2021-02-05 06:38:33,0.0
0.8,0.0,271.808,2021-02-05 06:38:35,0.0
1.0,0.0,277.042,2021-02-05 06:40:15,0.0
1.0,0.0,268.495,2021-02-05 06:40:16,0.0
1.0,0.0,319.918,2021-02-05 06:40:17,0.0
1.0,0.0,368.018,2021-02-05 06:40:18,0.0
1.0,0.0,336.232,2021-02-05 06:40:19,0.0
1.0,0.0,324.341,2021-02-05 06:40:20,0.0
1.0,0.0,265.041,2021-02-05 06:40:21,0.0
1.0,0.0,270.874,2021-02-05 06:40:24,0.0
1.0,0.0,333.153,2021-02-05 06:40:31,0.0
1.0,0.0,309.344,2021-02-05 06:40:32,0.0
1.0,0.0,276.543,2021-02-05 06:40:33,0.0
1.0,0.0,277.375,2021-02-05 06:40:36,0.0
1.0,0.0,282.044,2021-02-05 06:40:37,0.0
1.0,0.0,307.969,2021-02-05 06:40:44,0.0
1.0,0.0,280.597,2021-02-05 06:40:46,0.0
