ccn_sursaturation,pollution_flag,ccn_conc,datetime,ccn_flag
0.2,0.0,130.937,2021-02-05 05:44:53,0.0
0.2,0.0,128.11,2021-02-05 05:44:54,0.0
0.2,0.0,141.12,2021-02-05 05:44:55,0.0
0.2,0.0,132.347,2021-02-05 05:44:56,0.0
0.2,0.0,124.351,2021-02-05 05:44:57,0.0
0.2,0.0,122.721,2021-02-05 05:44:58,0.0
0.2,0.0,98.623,2021-02-05 05:44:59,0.0
0.2,0.0,129.138,2021-02-05 05:45:00,0.0
0.2,0.0,117.619,2021-02-05 05:45:01,0.0
0.2,0.0,147.908,2021-02-05 05:45:02,0.0
0.2,0.0,108.084,2021-02-05 05:45:03,0.0
0.2,0.0,114.498,2021-02-05 05:45:04,0.0
0.2,0.0,134.908,2021-02-05 05:45:05,0.0
0.2,0.0,139.89,2021-02-05 05:45:06,0.0
0.2,0.0,138.501,2021-02-05 05:45:07,0.0
0.2,0.0,130.774,2021-02-05 05:45:08,0.0
0.2,0.0,137.131,2021-02-05 05:45:09,0.0
0.2,0.0,128.379,2021-02-05 05:45:10,0.0
0.2,0.0,149.442,2021-02-05 05:45:11,0.0
0.2,0.0,148.952,2021-02-05 05:45:12,0.0
0.2,0.0,168.067,2021-02-05 05:45:13,0.0
0.2,0.0,123.953,2021-02-05 05:45:14,0.0
0.2,0.0,131.711,2021-02-05 05:45:15,0.0
0.2,0.0,114.192,2021-02-05 05:45:16,0.0
0.2,0.0,120.544,2021-02-05 05:45:17,0.0
0.2,0.0,133.942,2021-02-05 05:45:18,0.0
0.2,0.0,128.887,2021-02-05 05:45:19,0.0
0.2,0.0,133.374,2021-02-05 05:45:20,0.0
0.2,0.0,117.746,2021-02-05 05:45:21,0.0
0.2,0.0,127.153,2021-02-05 05:45:22,0.0
0.2,0.0,133.969,2021-02-05 05:45:23,0.0
0.2,0.0,136.693,2021-02-05 05:45:24,0.0
0.2,0.0,100.52,2021-02-05 05:45:25,0.0
0.2,0.0,134.157,2021-02-05 05:45:26,0.0
0.2,0.0,122.253,2021-02-05 05:45:27,0.0
0.2,0.0,160.435,2021-02-05 05:45:28,0.0
0.2,0.0,123.31,2021-02-05 05:45:29,0.0
0.2,0.0,143.775,2021-02-05 05:45:30,0.0
0.2,0.0,114.062,2021-02-05 05:45:31,0.0
0.2,0.0,140.287,2021-02-05 05:45:32,0.0
0.2,0.0,147.81,2021-02-05 05:45:33,0.0
0.2,0.0,117.245,2021-02-05 05:45:34,0.0
0.2,0.0,132.623,2021-02-05 05:45:35,0.0
