ccn_conc,ccn_sursaturation,datetime,pollution_flag,ccn_flag
173.717,0.1,2023-02-01 19:58:04,0.0,0.0
180.857,0.1,2023-02-01 19:58:05,0.0,0.0
233.861,0.1,2023-02-01 19:58:06,0.0,0.0
202.472,0.1,2023-02-01 19:58:07,0.0,0.0
230.887,0.1,2023-02-01 19:58:08,0.0,0.0
251.59,0.1,2023-02-01 19:58:09,0.0,0.0
217.85,0.1,2023-02-01 19:58:10,0.0,0.0
144.825,0.1,2023-02-01 19:58:11,0.0,0.0
93.08,0.1,2023-02-01 19:58:12,0.0,0.0
54.17,0.1,2023-02-01 19:58:13,0.0,0.0
75.815,0.1,2023-02-01 19:58:14,0.0,0.0
126.556,0.1,2023-02-01 19:58:15,0.0,0.0
195.998,0.1,2023-02-01 19:58:16,0.0,0.0
247.552,0.1,2023-02-01 19:58:17,0.0,0.0
263.692,0.1,2023-02-01 19:58:18,0.0,0.0
263.59,0.1,2023-02-01 19:58:19,0.0,0.0
265.919,0.1,2023-02-01 19:58:20,0.0,0.0
263.563,0.1,2023-02-01 19:58:21,0.0,0.0
212.302,0.1,2023-02-01 19:58:22,0.0,0.0
162.05,0.1,2023-02-01 19:58:23,0.0,0.0
103.068,0.1,2023-02-01 19:58:24,0.0,0.0
74.317,0.1,2023-02-01 19:58:25,0.0,0.0
73.066,0.1,2023-02-01 19:58:26,0.0,0.0
89.296,0.1,2023-02-01 19:58:27,0.0,0.0
127.13,0.1,2023-02-01 19:58:28,0.0,0.0
176.686,0.1,2023-02-01 19:58:29,0.0,0.0
229.083,0.1,2023-02-01 19:58:30,0.0,0.0
222.151,0.1,2023-02-01 19:58:31,0.0,0.0
223.489,0.1,2023-02-01 19:58:32,0.0,0.0
233.065,0.1,2023-02-01 19:58:33,0.0,0.0
204.496,0.1,2023-02-01 19:58:34,0.0,0.0
226.292,0.1,2023-02-01 19:58:35,0.0,0.0
123.227,0.1,2023-02-01 19:58:36,0.0,0.0
86.787,0.1,2023-02-01 19:58:37,0.0,0.0
85.79,0.1,2023-02-01 19:58:38,0.0,0.0
117.574,0.1,2023-02-01 19:58:39,0.0,0.0
167.975,0.1,2023-02-01 19:58:40,0.0,0.0
213.756,0.1,2023-02-01 19:58:41,0.0,0.0
229.163,0.1,2023-02-01 19:58:42,0.0,0.0
253.016,0.1,2023-02-01 19:58:43,0.0,0.0
280.843,0.1,2023-02-01 19:58:44,0.0,0.0
215.073,0.1,2023-02-01 19:58:45,0.0,0.0
195.275,0.1,2023-02-01 19:58:46,0.0,0.0
172.139,0.1,2023-02-01 19:58:47,0.0,0.0
120.137,0.1,2023-02-01 19:58:48,0.0,0.0
111.569,0.1,2023-02-01 19:58:49,0.0,0.0
140.079,0.1,2023-02-01 19:58:50,0.0,0.0
137.827,0.1,2023-02-01 19:58:51,0.0,0.0
163.072,0.1,2023-02-01 19:58:52,0.0,0.0
195.431,0.1,2023-02-01 19:58:53,0.0,0.0
207.212,0.1,2023-02-01 19:58:54,0.0,0.0
204.851,0.1,2023-02-01 19:58:55,0.0,0.0
189.089,0.1,2023-02-01 19:58:56,0.0,0.0
166.163,0.1,2023-02-01 19:58:57,0.0,0.0
182.03,0.1,2023-02-01 19:58:58,0.0,0.0
161.887,0.1,2023-02-01 19:58:59,0.0,0.0
146.187,0.1,2023-02-01 19:59:00,0.0,0.0
151.418,0.1,2023-02-01 19:59:01,0.0,0.0
151.638,0.1,2023-02-01 19:59:02,0.0,0.0
131.328,0.1,2023-02-01 19:59:03,0.0,0.0
106.638,0.1,2023-02-01 19:59:04,0.0,0.0
113.291,0.1,2023-02-01 19:59:05,0.0,0.0
157.005,0.1,2023-02-01 19:59:06,0.0,0.0
184.965,0.1,2023-02-01 19:59:07,0.0,0.0
218.892,0.1,2023-02-01 19:59:08,0.0,0.0
203.924,0.1,2023-02-01 19:59:09,0.0,0.0
224.62,0.1,2023-02-01 19:59:10,0.0,0.0
214.668,0.1,2023-02-01 19:59:11,0.0,0.0
216.748,0.1,2023-02-01 19:59:12,0.0,0.0
205.362,0.1,2023-02-01 19:59:13,0.0,0.0
168.221,0.1,2023-02-01 19:59:14,0.0,0.0
124.154,0.1,2023-02-01 19:59:15,0.0,0.0
107.188,0.1,2023-02-01 19:59:16,0.0,0.0
135.542,0.1,2023-02-01 19:59:17,0.0,0.0
99.822,0.1,2023-02-01 19:59:18,0.0,0.0
168.589,0.1,2023-02-01 19:59:19,0.0,0.0
161.582,0.1,2023-02-01 19:59:20,0.0,0.0
202.488,0.1,2023-02-01 19:59:21,0.0,0.0
241.76,0.1,2023-02-01 19:59:22,0.0,0.0
235.545,0.1,2023-02-01 19:59:23,0.0,0.0
246.945,0.1,2023-02-01 19:59:24,0.0,0.0
228.285,0.1,2023-02-01 19:59:25,0.0,0.0
219.762,0.1,2023-02-01 19:59:26,0.0,0.0
199.422,0.1,2023-02-01 19:59:27,0.0,0.0
133.18,0.1,2023-02-01 19:59:28,0.0,0.0
80.603,0.1,2023-02-01 19:59:29,0.0,0.0
146.04,0.1,2023-02-01 19:59:30,0.0,0.0
139.649,0.1,2023-02-01 19:59:31,0.0,0.0
146.673,0.1,2023-02-01 19:59:32,0.0,0.0
152.745,0.1,2023-02-01 19:59:33,0.0,0.0
191.599,0.1,2023-02-01 19:59:34,0.0,0.0
202.509,0.1,2023-02-01 19:59:35,0.0,0.0
229.646,0.1,2023-02-01 19:59:36,0.0,0.0
154.446,0.1,2023-02-01 19:59:37,0.0,0.0
203.656,0.1,2023-02-01 19:59:38,0.0,0.0
209.037,0.1,2023-02-01 19:59:39,0.0,0.0
190.479,0.1,2023-02-01 19:59:40,0.0,0.0
212.453,0.1,2023-02-01 19:59:41,0.0,0.0
171.425,0.1,2023-02-01 19:59:42,0.0,0.0
155.53,0.1,2023-02-01 19:59:43,0.0,0.0
109.825,0.1,2023-02-01 19:59:44,0.0,0.0
95.241,0.1,2023-02-01 19:59:45,0.0,0.0
91.932,0.1,2023-02-01 19:59:46,0.0,0.0
133.172,0.1,2023-02-01 19:59:47,0.0,0.0
181.264,0.1,2023-02-01 19:59:48,0.0,0.0
195.037,0.1,2023-02-01 19:59:49,0.0,0.0
224.598,0.1,2023-02-01 19:59:50,0.0,0.0
207.826,0.1,2023-02-01 19:59:51,0.0,0.0
196.688,0.1,2023-02-01 19:59:52,0.0,0.0
211.076,0.1,2023-02-01 19:59:53,0.0,0.0
169.139,0.1,2023-02-01 19:59:54,0.0,0.0
99.321,0.1,2023-02-01 19:59:55,0.0,0.0
